正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1956,15.0,106.4353,3月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,858.9,858.9,266486.0799,0.0,194534838.3607
108.0,1957,15.0,106.4353,4月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,2213.7,652.3648,266742.3935,876.0427,194721947.2877
108.0,1957,15.0,106.4353,5月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,3863.0,2332.7804,1038161.793,1527.8805,757858108.8748
108.0,1957,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,2716.3,2332.7804,1038161.793,381.1805,757858108.8748
108.0,1957,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,1082.3,1765.2534,696940.5999,0.0,508766637.9593
108.0,1957,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,3519.7,652.3648,266742.3935,2182.0427,194721947.2877
108.0,1957,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,1131.1774,107.5528,473.3,346.8272,166403.7162,0.0,121474712.8455
108.0,1957,15.0,106.4353,10月,低于防破坏线-保证出力,1131.1774,107.5528,1038.4307,105.9131,484.0,579.9907,276737.775,0.0,202018575.75
108.0,1957,15.0,106.4353,11月,低于防破坏线-保证出力,1038.4307,105.9131,1156.472,108.0,703.0,577.3417,276737.775,7.617,202018575.75
108.0,1957,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1238.2,1238.2,592964.4425,0.0,432864043.0349
108.0,1957,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,719.0,719.0,349284.448,0.0,254977647.04
108.0,1957,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,840.8,840.8,406864.0255,0.0,297010738.5982
108.0,1957,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1075.6,1075.6,517181.4099,0.0,377542429.2326
108.0,1958,15.0,106.4353,4月,优化区-枚举月末库容,1156.472,108.0,760.1904,100.9941,1550.7,1946.9816,859653.1579,0.0,627546805.2733
108.0,1958,15.0,106.4353,5月,汛限线附近-满发,760.1904,100.9941,1004.7046,105.3169,5788.3,2435.8781,1037004.2664,3105.5686,757013114.5024
108.0,1958,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,633.7176,97.903,2195.7,2564.3662,1064353.0,0.0,776977690.0
108.0,1958,15.0,106.4353,7月,低于防破坏线-保证出力,633.7176,97.903,1004.7046,105.3169,3980.3,617.3852,269806.1056,2989.5887,196958457.0572
108.0,1958,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,1004.7046,105.3169,3151.7,580.4749,270220.5137,2568.8859,197260974.9768
108.0,1958,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,321.7512,87.6,1681.0,2363.9534,919666.7002,0.0,671356691.1628
108.0,1958,15.0,106.4353,10月,低于防破坏线-保证出力,321.7512,87.6,1156.472,108.0,1929.0,652.3648,276737.775,441.9144,202018575.75
108.0,1958,15.0,106.4353,11月,低于防破坏线-保证出力,1156.472,108.0,1156.472,108.0,569.7,566.6419,276737.775,3.0581,202018575.75
108.0,1958,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,401.0,401.0,197247.2731,0.0,143990509.3462
108.0,1958,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,436.3,436.3,214275.2644,0.0,156420943.0476
108.0,1958,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1650.5,1650.5,782892.0309,0.0,571511182.5899
108.0,1958,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,1046.8622,106.0622,2197.3,2306.9098,1060420.2433,0.0,774106777.5855
108.0,1959,15.0,106.4353,4月,优化区-枚举月末库容,1046.8622,106.0622,768.6219,101.1432,2202.3,2480.5403,1064008.83,0.0,776726445.9018
108.0,1959,15.0,106.4353,5月,汛限线附近-满发,768.6219,101.1432,1004.7046,105.3169,4255.0,2432.165,1037045.9561,1584.4133,757043547.9385
